file,major_emotion,transcription,whisper_text
Ses01F_impro01_F000.wav,neutral, Excuse me.,Excuse me?
Ses01F_impro01_F001.wav,neutral, Yeah.,Yeah.
Ses01F_impro01_F002.wav,neutral, Is there a problem?,Is there a problem?
Ses01F_impro01_F003.wav,neutral, You did.,You did.
Ses01F_impro01_F004.wav,neutral, You were standing at the beginning and you directed me.,"You were standing at the beginning, you directed me."
Ses01F_impro01_F005.wav,neutral, Well what's the problem?  Let me change it.,"Well, what's the problem? Let me change it."
Ses01F_impro01_F006.wav,frustrated, What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,I'm getting an ID. This is why I'm here. My wallet was stolen.
Ses01F_impro01_F007.wav,frustrated, How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,How am I supposed to get an ID without an ID? How does a person get an ID in the first place?
Ses01F_impro01_F008.wav,frustrated, I'm here to get an ID.,I'm here to get an ID.
Ses01F_impro01_F009.wav,frustrated, Like what?  Like a birth certificate?,Like what? Like a birth certificate? Okay.
Ses01F_impro01_F010.wav,frustrated, Who the hell has a birth certificate?,Who the hell has a birth certificate?
Ses01F_impro01_F011.wav,frustrated," Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?","Yes, but my wallet was stolen. I don't have anything. I don't have any credit cards. I don't have my ID. Don't you have things on file here?"
Ses01F_impro01_F012.wav,angry, That's out of control.,That's out of control.
Ses01F_impro01_F013.wav,frustrated, How long have you been working here?,How long have you been working here?
Ses01F_impro01_F014.wav,neutral," Clearly.  You know, do you have like a supervisor or something?","Clearly. You know, do you have like a supervisor or something? Yeah."
Ses01F_impro01_F015.wav,frustrated, That would - I would appreciate that.  Yeah.,I appreciate that. Yeah.
Ses01F_impro01_M000.wav,frustrated, Do you have your forms?,Do you have your forms?
Ses01F_impro01_M001.wav,frustrated, Let me see them.,Let me see them.
Ses01F_impro01_M002.wav,frustrated, Who told you to get in this line?,Is there a problem? Who told you to get in this line?
Ses01F_impro01_M003.wav,frustrated, Okay. But I didn't tell you to get in this line if you are filling out this particular form.,"Okay, but I didn't tell you to get in this line if you're filling out this particular form."
Ses01F_impro01_M004.wav,frustrated, This form is a Z.X.four.,This form is a ZX4.
Ses01F_impro01_M005.wav,frustrated," You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.","You can't... This is not the line for the ZX4. If you're going to fill out the ZX4, you need to have a different form of ID."
Ses01F_impro01_M006.wav,frustrated, No. I need another set of ID to prove this is actually you.,"No, I need another set of ID to prove that this is actually you."
Ses01F_impro01_M007.wav,frustrated, I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,"I don't know, but I need an ID to pass this form along. I can't just send it along without an ID. I can't get it."
Ses01F_impro01_M008.wav,frustrated," No.  I need another ID, a separate one.","No, I need another ID. A separate one."
Ses01F_impro01_M009.wav,frustrated," A birth certificate, a passport...a student ID; didn't you go to school?  Anything?","A birth certificate, a passport, a student ID. Didn't you go to school? Anything?"
Ses01F_impro01_M010.wav,frustrated," Yeah.  We keep it on file, but we need an ID to access that file.","Yeah, we keep it on file, but we need an ID to access that file. Exactly."
Ses01F_impro01_M011.wav,angry, I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID!
Ses01F_impro01_M012.wav,frustrated, Actually too long.,Actually too long.
Ses01F_impro01_M013.wav,angry, Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,Or something? Yeah. You want to see my supervisor? Huh? Yeah. You want to see my supervisor? Fine. I'll be right back.
Ses01F_impro02_F000.wav,sad, Did you get the mail? So you saw my letter?,Did she get the mail? Did she sell my letter?
Ses01F_impro02_F001.wav,sad, Yeah.  I know.,"Yeah, I know."
Ses01F_impro02_F002.wav,sad, I don't know.  I put in that. request too. They didn't...,I don't know. I put in that request too.
Ses01F_impro02_F003.wav,neutral," I guess, you know, everybody has to make sacrifices.","I guess, you know, everybody has to make sacrifices."
Ses01F_impro02_F004.wav,sad," There's people that have given more though, you know?","There's people that have given more though, you know."
Ses01F_impro02_F005.wav,sad, I know.,I know.
Ses01F_impro02_F006.wav,neutral," There's babies over there, though, that need mothers.","There's babies over there, though, that need mothers."
Ses01F_impro02_F007.wav,sad," I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",I'm not okay with it. It's not like I have a choice. I don't see what crying about it is going to fix.
Ses01F_impro02_F008.wav,sad," Just, you know, kicking myself.","Just, you know, kicking myself."
Ses01F_impro02_F009.wav,sad, like you sign up because you need money and,like you sign up you need money and
Ses01F_impro02_F010.wav,sad, things just aren't what they seem.,Things just aren't what they seem.
Ses01F_impro02_F011.wav,sad," We're doing the right thing, though.","We're doing the right thing, though."
Ses01F_impro02_F012.wav,sad," If not me then, who?","If not me, then who?"
Ses01F_impro02_F013.wav,sad," You'll videotape everything, yeah?","You'll videotape everything, yeah?"
Ses01F_impro02_F014.wav,sad," Maybe you can send it to me, like stream it, yeah?","Maybe you can send it to me, like, stream it, yeah?"
Ses01F_impro02_F015.wav,sad, Last month--  Yeah.,That's and that's it. Yeah.
Ses01F_impro02_F016.wav,neutral, I have to find sitters.,I have to find sitters.
Ses01F_impro02_F017.wav,sad," We've got friends, that's why we moved here, huh?  Because there is a day care down the street.","We've got friends. That's why we moved here, huh? Because there's a daycare down the street."
Ses01F_impro02_F018.wav,neutral, And your mother is close by.,And your mother's close by.
Ses01F_impro02_F019.wav,sad, I'll send you lots of letters.,I'll send you lots of letters.
Ses01F_impro02_F020.wav,sad, And I want lots and lots and lots of pictures.,and I want lots and lots and lots of pictures
Ses01F_impro02_M000.wav,sad, It's not fair.,It's not fair.
Ses01F_impro02_M001.wav,sad," I don't understand.  You've already done so much, I don't know why do you have to go back.","I understand. You've already done so much, I don't know why you have to go back."
Ses01F_impro02_M002.wav,frustrated," I don't know, it's just not fair.  I think you've already made your sacrifice.",It's just not fair. I think you've already made your sacrifice.
Ses01F_impro02_M003.wav,frustrated, I just don't see how they can make you leave when you have a new baby - we have a new kid.,"I just, I don't see how they can make you leave when you have a new baby, when you have a new kid."
Ses01F_impro02_M004.wav,sad, Then why is that fair?  Why--,Why is that fair?
Ses01F_impro02_M005.wav,sad, I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,I don't know how you can be okay with this. I don't know why you're not... I'm not okay with it.
Ses01F_impro02_M006.wav,sad, I'm just trying to think of another way.  I'm just trying to...,I'm just trying to think of another way. I'm trying to...
Ses01F_impro02_M007.wav,angry, This is a stupid war.,This is a stupid war.
Ses01F_impro02_M008.wav,frustrated, I know.,"I know, but..."
Ses01F_impro02_M009.wav,sad, I just don't see why it has to be you.,I just don't see why it has to be you.
Ses01F_impro02_M010.wav,sad, What am I going to do? Huh?,"What am I gonna do, huh?"
Ses01F_impro02_M011.wav,sad, Yeah.,Yeah.
Ses01F_impro02_M012.wav,neutral, Don't you guys have access to computers over there.,Don't you guys have access to computers over there now?
Ses01F_impro02_M013.wav,sad, I just don't know how I'm going to do it without you.,I just don't know how I'm going to do it without you.
Ses01F_impro02_M014.wav,sad, I can't raise a baby by myself.  How?,I can't raise a baby by myself.
Ses01F_impro02_M015.wav,neutral, I know.,I don't know.
Ses01F_impro02_M016.wav,frustrated, It's just not fair.,It's just not fair.
Ses01F_impro03_F000.wav,happy, Well Vegas was awesome.,"Well, Vegas is awesome. Yeah, I heard that."
Ses01F_impro03_F001.wav,happy," And, um, I got married.",and I got married
Ses01F_impro03_F002.wav,happy, Yeah.  In the old town part.,"Yeah, in the Old Town part."
Ses01F_impro03_F003.wav,excited, Chuck. [LAUGHTER],Chuck!
Ses01F_impro03_F004.wav,happy, Um- Yes.  It was very romantic.,"Um, yes. It was very romantic."
Ses01F_impro03_F005.wav,happy, It was at the slot machines.,It was at the slot machines.
Ses01F_impro03_F006.wav,happy," Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",He won big and he realized that the only thing that would make it better was me as his bride.
Ses01F_impro03_F007.wav,excited, Hey.  Let's get married and I said okay.,"Hey, let's get married. And I said, okay."
Ses01F_impro03_F008.wav,happy," Yeah.  Well.  You know, because he's leaving the next day.","Yeah, well, you know, because he's leaving the next day."
Ses01F_impro03_F009.wav,happy, But we're going to have a honeymoon cruise.,But we're gonna have a honeymoon cruise.
Ses01F_impro03_F010.wav,happy, Oh.  I hadn't even thought about that.,"Oh, I hadn't even thought about that."
Ses01F_impro03_F011.wav,excited," He's not going to be a citizen, though.",He's not going to be a citizen though.
Ses01F_impro03_F012.wav,happy, Oh.  Totally.,"for a long time. Oh, totally. Yeah."
Ses01F_impro03_F013.wav,happy, I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],I guess I'll have an internet husband.
Ses01F_impro03_F014.wav,excited, I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,I have an internet boyfriend. I guess I'll have to juggle the two. Is that cheating? I don't know. Hmm.
Ses01F_impro03_F015.wav,excited," Yeah, so [LAUGHTER] He's calling me now","Yeah, so. He's calling me now."
Ses01F_impro03_F016.wav,happy," He likes to keep tabs, you know.","He likes to keep tabs, you know."
Ses01F_impro03_F017.wav,neutral," Uh, I think seven hundred and fifty dollars.",I think $750.
Ses01F_impro03_F018.wav,neutral, Penny slots. That's what he plays.,Really? Penny slots. Penny slots? That's what he plays.
Ses01F_impro03_F019.wav,neutral, Yeah.,Yeah.
Ses01F_impro03_F020.wav,happy, Oh.,Oh. But it just comes.
Ses01F_impro03_F021.wav,happy, Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,much. Yeah. We played Wheel of Fortune pennies. It's like a giant thing. The pennies always get
Ses01F_impro03_F022.wav,neutral, Fifty bucks. Mmhmm.,50 bucks. 50 bucks.
Ses01F_impro03_F023.wav,neutral, Yeah.,Yeah.
Ses01F_impro03_F024.wav,happy, Well so now we're married. We have cat children.,That's how. Now we're married. We have cat children.
Ses01F_impro03_F025.wav,happy," We renamed Brenda, Lumber Janet.","We renamed Brenda, Lumberjanet."
Ses01F_impro03_F026.wav,happy, She needs a new name each state that we go into. [LAUGHTER],She needs a new name each state that we go into.
Ses01F_impro03_M000.wav,neutral, So what's up?  What's new?,So what's up? What's new?
Ses01F_impro03_M001.wav,neutral, Yeah.  I heard.,"That was awesome. Yeah, I heard."
Ses01F_impro03_M002.wav,surprise, Shut up.  No- in Vegas?,Shut up. In Vegas? Yeah.
Ses01F_impro03_M003.wav,excited, Who did you marry?,Who'd you marry?
Ses01F_impro03_M004.wav,excited, Did you propose to you?,Did he propose to you?
Ses01F_impro03_M005.wav,excited, Oh.  The Wheel of Fortune slots?,"Oh, Wheel of Fortune slides?"
Ses01F_impro03_M006.wav,neutral, He turned to you and was like...,He turned to you and was like...
Ses01F_impro03_M007.wav,happy, [LAUGHTER] That's really romantic.,It's really romantic.
Ses01F_impro03_M008.wav,neutral, Yeah.,next thing. Yeah. But we're going to
Ses01F_impro03_M009.wav,neutral," Does that mean that you're going to get citizenship, too, in- in England or whatever?",Does that mean you're going to get citizenship too in England or whatever?
Ses01F_impro03_M010.wav,excited, Yeah.  Think about that.,Yeah. Think about that. Isn't that good?
Ses01F_impro03_M011.wav,neutral, Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,"Yeah, but it'll have like a long visa. Can you go visit them for a long time?"
Ses01F_impro03_M012.wav,happy," Oh, how are you going to do the long distance thing?  So wait, are you going to move there?","How are you going to do the long distancing? Wait, are you going to move there?"
Ses01F_impro03_M013.wav,happy, Like you need another one of those.[LAUGHTER],Like you need another one of those?
Ses01F_impro03_M014.wav,happy, Is that your phone?,"Is that your phone? No, we're kidding."
Ses01F_impro03_M015.wav,happy, He loves you.,He loves you.
Ses01F_impro03_M016.wav,neutral, How much did he win at the slot?,How much did he win in the slot?
Ses01F_impro03_M017.wav,surprise, Really? Penny slots?,Really? Penny slots. Penny slots?
Ses01F_impro03_M018.wav,surprise, Wow.,Wow.
Ses01F_impro03_M019.wav,neutral, I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,I'm a big fan of the real fortune quarters. But it just costs so much.
Ses01F_impro03_M020.wav,neutral," But the pennies always get you because you end up spending like, you know, fifty bucks.","But the pennies always get you because then you end up spending like, you know, 50 bucks."
Ses01F_impro03_M021.wav,neutral," like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.","You're like, wait, but it's just pennies. Wait a minute, I'm on the air."
Ses01F_impro03_M022.wav,excited, Awesome.,Awesome.
Ses01F_impro03_M023.wav,happy, [LAUGHTER] Cat babies.,Cat babies.
Ses01F_impro03_M024.wav,neutral, That's fair enough.,That's fair enough.
Ses01F_impro04_F000.wav,neutral," Uh, what?  Craig's List?  Oh the internet thing?","Craigslist. Oh, the internet thing?"
Ses01F_impro04_F001.wav,neutral, I don't know.  Isn't that-- that's all like escort services and things like that.,I don't know isn't that that's all like escort services and things like that.
Ses01F_impro04_F002.wav,frustrated," I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.","I don't know. I mean, I've been looking for so long, I just figured that... I mean, I think things like Monster are a lot more reliable than just some random free board."
Ses01F_impro04_F003.wav,frustrated, What kind of a job?,What kind of a job?
Ses01F_impro04_F004.wav,frustrated, Really?,"Really? Yeah, it's good."
Ses01F_impro04_F005.wav,neutral, He just...,He just...
Ses01F_impro04_F006.wav,neutral, you know what?  I heard about that job.  I applied for that.,You know what? I heard about that job. I applied for that.
Ses01F_impro04_F007.wav,frustrated, Yeah.  I saw a posting at the theatre.,"Yeah, I saw a posting at the theater."
Ses01F_impro04_F008.wav,frustrated, He got it?,He got it?
Ses01F_impro04_F009.wav,neutral, Yeah.,Yeah.
Ses01F_impro04_F010.wav,neutral, What did he do?  What was so great?  I don't understand why they would pick him over me.,What did he do? What was so great? I don't understand why they would pick him over me.
Ses01F_impro04_F011.wav,frustrated, A resume?,A résumé?
Ses01F_impro04_F012.wav,frustrated, No.,No.
Ses01F_impro04_F013.wav,neutral, I just- I mean I call people up and I tell them what I'm good at.,"I just, I mean, I call people up and I tell them what I'm good at."
Ses01F_impro04_F014.wav,neutral, Yeah.,done and I'll write it out.
Ses01F_impro04_F015.wav,frustrated, I don't like- I don't like sending things in the mail.  I don't want my information out there.,I don't like sending things in the mail. I don't want my information out there.
Ses01F_impro04_F016.wav,frustrated, I'm there in front of them.  I'm telling them what I'm good at.,I'm there in front of them. I'm telling them what I'm good at.
Ses01F_impro04_F017.wav,frustrated, Why?  It's a piece of paper.,Why? It's a piece of paper.
Ses01F_impro04_F018.wav,frustrated," I just don't want this paper trail, you know.  I just don't want things following me around, like-.","I just don't want this paper trail, you know? I just don't want things following me around, like..."
Ses01F_impro04_F019.wav,frustrated," It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...","It's just, I mean, you know, I've had this problem before, like, you're not the first person to tell me that I need a resume, but..."
Ses01F_impro04_F020.wav,angry, ..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,I just think it's kind of prejudiced and they're really discriminating against people who just aren't that way.
Ses01F_impro04_F021.wav,frustrated," That's baloney, that's baloney.",That's baloney. That's baloney.
Ses01F_impro04_F022.wav,frustrated, Please.,Please.
Ses01F_impro04_F023.wav,frustrated, you think that you're better than me because I don't have a car?,Do you think that you're better than me because I don't have a car? I do.
Ses01F_impro04_F024.wav,frustrated," You know, you're riding the bus, too.","You know, you're riding the bus too."
Ses01F_impro04_F025.wav,frustrated, Why?  What choice?,Why? What choice?
Ses01F_impro04_F026.wav,frustrated, You're saving the environment. mmhmm,You're saving the environment. Yes.
Ses01F_impro04_F027.wav,frustrated, Interesting.  That's fantastic.,Interesting. That's fantastic.
Ses01F_impro04_F028.wav,angry, I'm not frustrated.,I'm not frustrated.
Ses01F_impro04_F029.wav,angry, Who do you think you are?,Who do you think you are?
Ses01F_impro04_F030.wav,angry, You are so high and mighty.  I just--,You are so high and mighty. I just...
Ses01F_impro04_F031.wav,angry, Oh.  I'm saving the environment. I'm riding this car because I- I want to.,"Oh, I'm saving the environment. I'm renting this car because I want to."
Ses01F_impro04_F032.wav,angry," The bus, I'm riding the bus because I want to.",The bus. I'm riding the bus because I want to. You know why?
Ses01F_impro04_F033.wav,angry, I can not-- you are not here by choice.  Nobody would ride this bus by choice.,"I cannot, you are not here by choice. Nobody would ride this bus by choice."
Ses01F_impro04_M000.wav,neutral," Have you tried, uh, Craig's List?",Have you tried Craigslist?
Ses01F_impro04_M001.wav,neutral, Yeah.,Yeah.
Ses01F_impro04_M002.wav,neutral, No.  There's regular jobs on there.,"No, there's regular jobs on there."
Ses01F_impro04_M003.wav,neutral, Uh huh.,Mm-hmm.
Ses01F_impro04_M004.wav,neutral, I'm just saying I have a friend that got a good job on it so I was just recommending it.,"I'm just saying I have a friend that got a good job on it, so I was just recommending it."
Ses01F_impro04_M005.wav,neutral, He's like a manager for a theatre.,He's like a manager for a theater.
Ses01F_impro04_M006.wav,neutral, He's like a house manager. Yeah.  It's a good job.,"It's like a house manager. Yeah, it's a good job."
Ses01F_impro04_M007.wav,neutral, You did?,You did?
Ses01F_impro04_M008.wav,neutral, Yeah.,Yeah.
Ses01F_impro04_M009.wav,neutral, You've been looking for a job for a long time; that was a long time ago.  Right?,"You've been looking for a job for a long time. That was a long time ago, right?"
Ses01F_impro04_M010.wav,neutral, Hmm.,Huh.
Ses01F_impro04_M011.wav,neutral, I don't know.  He had a really good resume I guess and--,"I don't know, you have a really good resume, I guess."
Ses01F_impro04_M012.wav,neutral, Yeah.  Do you have a resume?,Yeah. Do you have a resume?
Ses01F_impro04_M013.wav,neutral, It's kind of helpful when getting a job.,It's kind of helpful when getting a job.
Ses01F_impro04_M014.wav,neutral, Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,Well then maybe we should sit down sometime and you can just tell me all the stuff that you've done and I'll write it out.
Ses01F_impro04_M015.wav,neutral," No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",there no you can't or you can just bring it in person but they need generally something to see you know what kind of work you've done what kind of
Ses01F_impro04_M016.wav,neutral," Yeah.  But the piece of paper helps, too.","Yeah, but the piece of paper helps too."
Ses01F_impro04_M017.wav,neutral," No.  But it has an outline, you know.","No, but it has an outline. I just don't have this paper."
Ses01F_impro04_M018.wav,neutral," I know.  Okay.  Well, um. Maybe--","I don't know. Okay. Well, um... It's just, you know, I've had this"
Ses01F_impro04_M019.wav,neutral, Yeah.,"or like, you're not first."
Ses01F_impro04_M020.wav,neutral," Okay, yeah.  I would imagine.","Yeah, I would imagine."
Ses01F_impro04_M021.wav,neutral," Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.","Well, sometimes you have to do things you don't necessarily like to do to have a job, but, you know, the job affords you, you know, money. You wouldn't have to be taking the bus right now."
Ses01F_impro04_M022.wav,neutral, maybe get a car.,Maybe get a car.
Ses01F_impro04_M023.wav,neutral," I just, you know, think you should try a little harder maybe.","I think you should try a little harder, maybe."
Ses01F_impro04_M024.wav,neutral, I didn't say that.,I didn't say that.
Ses01F_impro04_M025.wav,neutral," I am riding the bus, but by choice.","I am running the bus, but by choice."
Ses01F_impro04_M026.wav,neutral," To save the environment, carpool.","to save the environment, carpool."
Ses01F_impro04_M027.wav,neutral, Yes.  One less car at a time.,"Yes, one less car at a time."
Ses01F_impro04_M028.wav,neutral, Mmhmm.,That's fantastic.
Ses01F_impro04_M029.wav,frustrated," You know, you don't have to take out your frustration on me, you know, just because...","You know, you don't have to take out your frustration on me, you know, just because..."
Ses01F_impro04_M030.wav,frustrated, ...you can't get a job and refuse to have a resume.,You can't get a job and refuse to have a resume.
Ses01F_impro04_M031.wav,neutral, I don't think I'm anyone.,I don't think I'm...
Ses01F_impro04_M032.wav,neutral, I- I-I didn't-- okay.,"I, I, I didn't, I don't know."
Ses01F_impro04_M033.wav,frustrated, What?  No.,What? No.
Ses01F_impro04_M034.wav,frustrated, What? Oh.  So now you're...,"What? Oh, so now you're..."
Ses01F_impro04_M035.wav,frustrated, you know what?  You don't have to take your anger and your hurt out on me.,You know what? You don't have to take your anger and your hurt out on me.
Ses01F_impro04_M036.wav,frustrated, Why not?,Why not?
Ses01F_impro05_F000.wav,frustrated, Hi.,Hi.
Ses01F_impro05_F001.wav,frustrated, Yeah. This is the fourth line that I have been in.,"Yeah, this is the fourth line I've been in."
Ses01F_impro05_F002.wav,frustrated, I need my bag.,I need my bag.
Ses01F_impro05_F003.wav,frustrated," I flew in over three hours ago, I've been in four different lines.",I flew in over three hours ago. I've been in four different lines.
Ses01F_impro05_F004.wav,frustrated, I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,"I waited for the whole baggage carousel four times. They told me to go to the next one. I waited through that for three planes, and now I'm here."
