file,major_emotion,transcription,whisper_text,char_count_raw,word_count_raw,whisper_len,transcript_len,len_diff,wer,major_emotion_lower,char_count,word_count,unique_words,avg_word_len,punct_count,question_count,exclamation_count,sentence_count,avg_sent_len,emotion,cleaned_text,cleaned_word_count
Ses01F_impro01_F000.wav,neutral, Excuse me.,Excuse me?,10,2,2,2,0,0.5,neutral,10,2,2,4.5,1,1,0,1,2.0,neutral,excuse me?,2
Ses01F_impro01_F001.wav,neutral, Yeah.,Yeah.,5,1,1,1,0,0.0,neutral,5,1,1,5.0,1,0,0,1,1.0,neutral,yeah.,1
Ses01F_impro01_F002.wav,neutral, Is there a problem?,Is there a problem?,19,4,4,4,0,0.0,neutral,19,4,4,4.0,1,1,0,1,4.0,neutral,is there a problem?,4
Ses01F_impro01_F003.wav,neutral, You did.,You did.,8,2,2,2,0,0.0,neutral,8,2,2,3.5,1,0,0,1,2.0,neutral,you did.,2
Ses01F_impro01_F004.wav,neutral, You were standing at the beginning and you directed me.,"You were standing at the beginning, you directed me.",52,9,9,10,-1,0.2,neutral,52,9,8,4.889,2,0,0,1,9.0,neutral,"you were standing at the beginning, you directed me.",9
Ses01F_impro01_F005.wav,neutral, Well what's the problem?  Let me change it.,"Well, what's the problem? Let me change it.",43,8,8,8,0,0.125,neutral,43,8,8,4.5,4,1,0,2,4.0,neutral,"well, what s the problem? let me change it.",9
Ses01F_impro01_F006.wav,frustrated, What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,I'm getting an ID. This is why I'm here. My wallet was stolen.,62,13,13,14,-1,0.07142857142857142,frustrated,62,13,12,3.846,5,0,0,3,4.333,frustrated,i m getting an id. this is why i m here. my wallet was stolen.,15
Ses01F_impro01_F007.wav,frustrated, How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,How am I supposed to get an ID without an ID? How does a person get an ID in the first place?,93,22,22,22,0,0.0,frustrated,93,22,17,3.273,2,2,0,2,11.0,frustrated,how am i supposed to get an id without an id? how does a person get an id in the first place?,22
Ses01F_impro01_F008.wav,frustrated, I'm here to get an ID.,I'm here to get an ID.,22,6,6,6,0,0.0,frustrated,22,6,6,2.833,2,0,0,1,6.0,frustrated,i m here to get an id.,7
Ses01F_impro01_F009.wav,frustrated, Like what?  Like a birth certificate?,Like what? Like a birth certificate? Okay.,42,7,7,6,1,0.16666666666666666,frustrated,42,7,6,5.143,3,2,0,3,2.333,frustrated,like what? like a birth certificate? okay.,7
Ses01F_impro01_F010.wav,frustrated, Who the hell has a birth certificate?,Who the hell has a birth certificate?,37,7,7,7,0,0.0,frustrated,37,7,7,4.429,1,1,0,1,7.0,frustrated,who the hell has a birth certificate?,7
Ses01F_impro01_F011.wav,frustrated," Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?","Yes, but my wallet was stolen. I don't have anything. I don't have any credit cards. I don't have my ID. Don't you have things on file here?",140,28,28,28,0,0.10714285714285714,frustrated,140,28,19,4.036,10,1,0,5,5.6,frustrated,"yes, but my wallet was stolen. i don t have anything. i don t have any credit cards. i don t have my id. don t you have things on file here?",32
Ses01F_impro01_F012.wav,angry, That's out of control.,That's out of control.,22,4,4,4,0,0.0,angry,22,4,4,4.75,2,0,0,1,4.0,angry,that s out of control.,5
Ses01F_impro01_F013.wav,frustrated, How long have you been working here?,How long have you been working here?,36,7,7,7,0,0.0,frustrated,36,7,7,4.286,1,1,0,1,7.0,frustrated,how long have you been working here?,7
Ses01F_impro01_F014.wav,neutral," Clearly.  You know, do you have like a supervisor or something?","Clearly. You know, do you have like a supervisor or something? Yeah.",68,12,12,11,1,0.09090909090909091,neutral,68,12,11,4.75,4,1,0,3,4.0,neutral,"clearly. you know, do you have like a supervisor or something? yeah.",12
Ses01F_impro01_F015.wav,frustrated, That would - I would appreciate that.  Yeah.,I appreciate that. Yeah.,24,4,4,8,-4,0.5,frustrated,24,4,4,5.25,2,0,0,2,2.0,frustrated,i appreciate that. yeah.,4
Ses01F_impro01_M000.wav,frustrated, Do you have your forms?,Do you have your forms?,23,5,5,5,0,0.0,frustrated,23,5,5,3.8,1,1,0,1,5.0,frustrated,do you have your forms?,5
Ses01F_impro01_M001.wav,frustrated, Let me see them.,Let me see them.,16,4,4,4,0,0.0,frustrated,16,4,4,3.25,1,0,0,1,4.0,frustrated,let me see them.,4
Ses01F_impro01_M002.wav,frustrated, Who told you to get in this line?,Is there a problem? Who told you to get in this line?,53,12,12,8,4,0.5,frustrated,53,12,12,3.5,2,2,0,2,6.0,frustrated,is there a problem? who told you to get in this line?,12
Ses01F_impro01_M003.wav,frustrated, Okay. But I didn't tell you to get in this line if you are filling out this particular form.,"Okay, but I didn't tell you to get in this line if you're filling out this particular form.",91,18,18,19,-1,0.15789473684210525,frustrated,91,18,17,4.111,4,0,0,1,18.0,frustrated,"okay, but i didn t tell you to get in this line if you re filling out this particular form.",20
Ses01F_impro01_M004.wav,frustrated, This form is a Z.X.four.,This form is a ZX4.,19,5,5,5,0,0.2,frustrated,19,5,5,3.0,1,0,0,1,5.0,frustrated,this form is a zx4.,5
Ses01F_impro01_M005.wav,frustrated," You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.","You can't... This is not the line for the ZX4. If you're going to fill out the ZX4, you need to have a different form of ID.",124,27,27,26,1,0.15384615384615385,frustrated,124,27,23,3.63,8,0,0,3,9.0,frustrated,"you can t... this is not the line for the zx4. if you re going to fill out the zx4, you need to have a different form of id.",29
Ses01F_impro01_M006.wav,frustrated, No. I need another set of ID to prove this is actually you.,"No, I need another set of ID to prove that this is actually you.",64,14,14,13,1,0.15384615384615385,frustrated,64,14,14,3.643,2,0,0,1,14.0,frustrated,"no, i need another set of id to prove that this is actually you.",14
Ses01F_impro01_M007.wav,frustrated, I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,"I don't know, but I need an ID to pass this form along. I can't just send it along without an ID. I can't get it.",113,26,26,22,4,0.22727272727272727,frustrated,113,26,21,3.385,7,0,0,3,8.667,frustrated,"i don t know, but i need an id to pass this form along. i can t just send it along without an id. i can t get it.",29
Ses01F_impro01_M008.wav,frustrated," No.  I need another ID, a separate one.","No, I need another ID. A separate one.",38,8,8,8,0,0.25,frustrated,38,8,8,3.875,3,0,0,2,4.0,frustrated,"no, i need another id. a separate one.",8
Ses01F_impro01_M009.wav,frustrated," A birth certificate, a passport...a student ID; didn't you go to school?  Anything?","A birth certificate, a passport, a student ID. Didn't you go to school? Anything?",81,14,14,13,1,0.23076923076923078,frustrated,81,14,12,4.857,6,2,0,3,4.667,frustrated,"a birth certificate, a passport, a student id. didn t you go to school? anything?",15
Ses01F_impro01_M010.wav,frustrated," Yeah.  We keep it on file, but we need an ID to access that file.","Yeah, we keep it on file, but we need an ID to access that file. Exactly.",73,16,16,15,1,0.13333333333333333,frustrated,73,16,15,3.625,4,0,0,2,8.0,frustrated,"yeah, we keep it on file, but we need an id to access that file. exactly.",16
Ses01F_impro01_M011.wav,angry, I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID!,120,24,24,24,0,0.041666666666666664,angry,120,24,22,4.042,5,0,1,3,8.0,angry,i don t understand why this is so complicated for people when they get here. it s just a simple form. i just need an id!,26
Ses01F_impro01_M012.wav,frustrated, Actually too long.,Actually too long.,18,3,3,3,0,0.0,frustrated,18,3,3,5.333,1,0,0,1,3.0,frustrated,actually too long.,3
Ses01F_impro01_M013.wav,angry, Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,Or something? Yeah. You want to see my supervisor? Huh? Yeah. You want to see my supervisor? Fine. I'll be right back.,118,22,22,22,0,0.18181818181818182,angry,118,22,15,4.409,9,4,0,8,2.75,angry,or something? yeah. you want to see my supervisor? huh? yeah. you want to see my supervisor? fine. i ll be right back.,23
Ses01F_impro02_F000.wav,sad, Did you get the mail? So you saw my letter?,Did she get the mail? Did she sell my letter?,45,10,10,10,0,0.4,sad,45,10,8,3.6,2,2,0,2,5.0,sad,did she get the mail? did she sell my letter?,10
Ses01F_impro02_F001.wav,sad, Yeah.  I know.,"Yeah, I know.",13,3,3,3,0,0.3333333333333333,sad,13,3,3,3.667,2,0,0,1,3.0,sad,"yeah, i know.",3
Ses01F_impro02_F002.wav,sad, I don't know.  I put in that. request too. They didn't...,I don't know. I put in that request too.,40,9,9,11,-2,0.2727272727272727,sad,40,9,8,3.556,3,0,0,2,4.5,sad,i don t know. i put in that request too.,10
Ses01F_impro02_F003.wav,neutral," I guess, you know, everybody has to make sacrifices.","I guess, you know, everybody has to make sacrifices.",52,9,9,9,0,0.0,neutral,52,9,9,4.889,3,0,0,1,9.0,neutral,"i guess, you know, everybody has to make sacrifices.",9
Ses01F_impro02_F004.wav,sad," There's people that have given more though, you know?","There's people that have given more though, you know.",53,9,9,9,0,0.1111111111111111,sad,53,9,9,5.0,3,0,0,1,9.0,sad,"there s people that have given more though, you know.",10
Ses01F_impro02_F005.wav,sad, I know.,I know.,7,2,2,2,0,0.0,sad,7,2,2,3.0,1,0,0,1,2.0,sad,i know.,2
Ses01F_impro02_F006.wav,neutral," There's babies over there, though, that need mothers.","There's babies over there, though, that need mothers.",53,8,8,8,0,0.0,neutral,53,8,8,5.75,4,0,0,1,8.0,neutral,"there s babies over there, though, that need mothers.",9
Ses01F_impro02_F007.wav,sad," I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",I'm not okay with it. It's not like I have a choice. I don't see what crying about it is going to fix.,102,23,23,26,-3,0.15384615384615385,sad,102,23,21,3.478,6,0,0,3,7.667,sad,i m not okay with it. it s not like i have a choice. i don t see what crying about it is going to fix.,26
Ses01F_impro02_F008.wav,sad," Just, you know, kicking myself.","Just, you know, kicking myself.",31,5,5,5,0,0.0,sad,31,5,5,5.4,3,0,0,1,5.0,sad,"just, you know, kicking myself.",5
Ses01F_impro02_F009.wav,sad, like you sign up because you need money and,like you sign up you need money and,35,8,8,9,-1,0.1111111111111111,sad,35,8,7,3.5,0,0,0,1,8.0,sad,like you sign up you need money and,8
Ses01F_impro02_F010.wav,sad, things just aren't what they seem.,Things just aren't what they seem.,34,6,6,6,0,0.0,sad,34,6,6,4.833,2,0,0,1,6.0,sad,things just aren t what they seem.,7
Ses01F_impro02_F011.wav,sad," We're doing the right thing, though.","We're doing the right thing, though.",36,6,6,6,0,0.0,sad,36,6,6,5.167,3,0,0,1,6.0,sad,"we re doing the right thing, though.",7
Ses01F_impro02_F012.wav,sad," If not me then, who?","If not me, then who?",20,5,5,5,0,0.4,sad,20,5,5,3.2,2,1,0,1,5.0,sad,"if not me, then who?",5
Ses01F_impro02_F013.wav,sad," You'll videotape everything, yeah?","You'll videotape everything, yeah?",34,4,4,4,0,0.0,sad,34,4,4,7.75,3,1,0,1,4.0,sad,"you ll videotape everything, yeah?",5
Ses01F_impro02_F014.wav,sad," Maybe you can send it to me, like stream it, yeah?","Maybe you can send it to me, like, stream it, yeah?",51,11,11,11,0,0.09090909090909091,sad,51,11,11,3.727,4,1,0,1,11.0,sad,"maybe you can send it to me, like, stream it, yeah?",11
Ses01F_impro02_F015.wav,sad, Last month--  Yeah.,That's and that's it. Yeah.,27,5,5,3,2,1.3333333333333333,sad,27,5,4,4.6,4,0,0,2,2.5,sad,that s and that s it. yeah.,7
Ses01F_impro02_F016.wav,neutral, I have to find sitters.,I have to find sitters.,23,5,5,5,0,0.0,neutral,23,5,5,3.8,1,0,0,1,5.0,neutral,i have to find sitters.,5
Ses01F_impro02_F017.wav,sad," We've got friends, that's why we moved here, huh?  Because there is a day care down the street.","We've got friends. That's why we moved here, huh? Because there's a daycare down the street.",92,16,16,18,-2,0.2777777777777778,sad,92,16,16,4.812,7,1,0,3,5.333,sad,"we ve got friends. that s why we moved here, huh? because there s a daycare down the street.",19
Ses01F_impro02_F018.wav,neutral, And your mother is close by.,And your mother's close by.,27,5,5,6,-1,0.3333333333333333,neutral,27,5,5,4.6,2,0,0,1,5.0,neutral,and your mother s close by.,6
Ses01F_impro02_F019.wav,sad, I'll send you lots of letters.,I'll send you lots of letters.,30,6,6,6,0,0.0,sad,30,6,6,4.167,2,0,0,1,6.0,sad,i ll send you lots of letters.,7
Ses01F_impro02_F020.wav,sad, And I want lots and lots and lots of pictures.,and I want lots and lots and lots of pictures,45,10,10,10,0,0.1,sad,45,10,6,3.6,0,0,0,1,10.0,sad,and i want lots and lots and lots of pictures,10
Ses01F_impro02_M000.wav,sad, It's not fair.,It's not fair.,14,3,3,3,0,0.0,sad,14,3,3,4.0,2,0,0,1,3.0,sad,it s not fair.,4
Ses01F_impro02_M001.wav,sad," I don't understand.  You've already done so much, I don't know why do you have to go back.","I understand. You've already done so much, I don't know why you have to go back.",80,16,16,18,-2,0.1111111111111111,sad,80,16,15,4.062,5,0,0,2,8.0,sad,"i understand. you ve already done so much, i don t know why you have to go back.",18
Ses01F_impro02_M002.wav,frustrated," I don't know, it's just not fair.  I think you've already made your sacrifice.",It's just not fair. I think you've already made your sacrifice.,63,11,11,14,-3,0.21428571428571427,frustrated,63,11,11,4.818,4,0,0,2,5.5,frustrated,it s just not fair. i think you ve already made your sacrifice.,13
Ses01F_impro02_M003.wav,frustrated, I just don't see how they can make you leave when you have a new baby - we have a new kid.,"I just, I don't see how they can make you leave when you have a new baby, when you have a new kid.",98,23,23,22,1,0.22727272727272727,frustrated,98,23,16,3.304,4,0,0,1,23.0,frustrated,"i just, i don t see how they can make you leave when you have a new baby, when you have a new kid.",24
Ses01F_impro02_M004.wav,sad, Then why is that fair?  Why--,Why is that fair?,17,4,4,6,-2,0.3333333333333333,sad,17,4,4,3.5,1,1,0,1,4.0,sad,why is that fair?,4
Ses01F_impro02_M005.wav,sad, I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,I don't know how you can be okay with this. I don't know why you're not... I'm not okay with it.,96,21,21,20,1,0.25,sad,96,21,16,3.619,9,0,0,3,7.0,sad,i don t know how you can be okay with this. i don t know why you re not... i m not okay with it.,25
Ses01F_impro02_M006.wav,sad, I'm just trying to think of another way.  I'm just trying to...,I'm just trying to think of another way. I'm trying to...,57,11,11,12,-1,0.08333333333333333,sad,57,11,9,4.273,6,0,0,2,5.5,sad,i m just trying to think of another way. i m trying to...,13
Ses01F_impro02_M007.wav,angry, This is a stupid war.,This is a stupid war.,21,5,5,5,0,0.0,angry,21,5,5,3.4,1,0,0,1,5.0,angry,this is a stupid war.,5
Ses01F_impro02_M008.wav,frustrated, I know.,"I know, but...",14,3,3,2,1,1.0,frustrated,14,3,3,4.0,4,0,0,1,3.0,frustrated,"i know, but...",3
Ses01F_impro02_M009.wav,sad, I just don't see why it has to be you.,I just don't see why it has to be you.,38,10,10,10,0,0.0,sad,38,10,10,2.9,2,0,0,1,10.0,sad,i just don t see why it has to be you.,11
Ses01F_impro02_M010.wav,sad, What am I going to do? Huh?,"What am I gonna do, huh?",24,6,6,7,-1,0.42857142857142855,sad,24,6,6,3.167,2,1,0,1,6.0,sad,"what am i gonna do, huh?",6
Ses01F_impro02_M011.wav,sad, Yeah.,Yeah.,5,1,1,1,0,0.0,sad,5,1,1,5.0,1,0,0,1,1.0,sad,yeah.,1
Ses01F_impro02_M012.wav,neutral, Don't you guys have access to computers over there.,Don't you guys have access to computers over there now?,55,10,10,9,1,0.2222222222222222,neutral,55,10,10,4.6,2,1,0,1,10.0,neutral,don t you guys have access to computers over there now?,11
Ses01F_impro02_M013.wav,sad, I just don't know how I'm going to do it without you.,I just don't know how I'm going to do it without you.,53,12,12,12,0,0.0,sad,53,12,12,3.5,3,0,0,1,12.0,sad,i just don t know how i m going to do it without you.,14
Ses01F_impro02_M014.wav,sad, I can't raise a baby by myself.  How?,I can't raise a baby by myself.,31,7,7,8,-1,0.125,sad,31,7,7,3.571,2,0,0,1,7.0,sad,i can t raise a baby by myself.,8
Ses01F_impro02_M015.wav,neutral, I know.,I don't know.,13,3,3,2,1,0.5,neutral,13,3,3,3.667,2,0,0,1,3.0,neutral,i don t know.,4
Ses01F_impro02_M016.wav,frustrated, It's just not fair.,It's just not fair.,19,4,4,4,0,0.0,frustrated,19,4,4,4.0,2,0,0,1,4.0,frustrated,it s just not fair.,5
Ses01F_impro03_F000.wav,happy, Well Vegas was awesome.,"Well, Vegas is awesome. Yeah, I heard that.",43,8,8,4,4,1.5,happy,43,8,8,4.5,4,0,0,2,4.0,happy,"well, vegas is awesome. yeah, i heard that.",8
Ses01F_impro03_F001.wav,happy," And, um, I got married.",and I got married,17,4,4,5,-1,0.6,happy,17,4,4,3.5,0,0,0,1,4.0,happy,and i got married,4
Ses01F_impro03_F002.wav,happy, Yeah.  In the old town part.,"Yeah, in the Old Town part.",27,6,6,6,0,0.16666666666666666,happy,27,6,6,3.667,2,0,0,1,6.0,happy,"yeah, in the old town part.",6
Ses01F_impro03_F003.wav,excited, Chuck. [LAUGHTER],Chuck!,6,1,1,2,-1,1.0,excited,6,1,1,6.0,1,0,1,1,1.0,happy,chuck!,1
Ses01F_impro03_F004.wav,happy, Um- Yes.  It was very romantic.,"Um, yes. It was very romantic.",30,6,6,6,0,0.16666666666666666,happy,30,6,6,4.167,3,0,0,2,3.0,happy,"um, yes. it was very romantic.",6
Ses01F_impro03_F005.wav,happy, It was at the slot machines.,It was at the slot machines.,28,6,6,6,0,0.0,happy,28,6,6,3.833,1,0,0,1,6.0,happy,it was at the slot machines.,6
Ses01F_impro03_F006.wav,happy," Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",He won big and he realized that the only thing that would make it better was me as his bride.,93,20,20,23,-3,0.13043478260869565,happy,93,20,18,3.7,1,0,0,1,20.0,happy,he won big and he realized that the only thing that would make it better was me as his bride.,20
Ses01F_impro03_F007.wav,excited, Hey.  Let's get married and I said okay.,"Hey, let's get married. And I said, okay.",41,8,8,8,0,0.375,excited,41,8,8,4.25,5,0,0,2,4.0,happy,"hey, let s get married. and i said, okay.",9
Ses01F_impro03_F008.wav,happy," Yeah.  Well.  You know, because he's leaving the next day.","Yeah, well, you know, because he's leaving the next day.",56,10,10,10,0,0.2,happy,56,10,10,4.7,5,0,0,1,10.0,happy,"yeah, well, you know, because he s leaving the next day.",11
Ses01F_impro03_F009.wav,happy, But we're going to have a honeymoon cruise.,But we're gonna have a honeymoon cruise.,40,7,7,8,-1,0.25,happy,40,7,7,4.857,2,0,0,1,7.0,happy,but we re gonna have a honeymoon cruise.,8
Ses01F_impro03_F010.wav,happy, Oh.  I hadn't even thought about that.,"Oh, I hadn't even thought about that.",37,7,7,7,0,0.14285714285714285,happy,37,7,7,4.429,3,0,0,1,7.0,happy,"oh, i hadn t even thought about that.",8
Ses01F_impro03_F011.wav,excited," He's not going to be a citizen, though.",He's not going to be a citizen though.,38,8,8,8,0,0.125,excited,38,8,8,3.875,2,0,0,1,8.0,happy,he s not going to be a citizen though.,9
Ses01F_impro03_F012.wav,happy, Oh.  Totally.,"for a long time. Oh, totally. Yeah.",35,7,7,2,5,3.0,happy,35,7,7,4.143,4,0,0,3,2.333,happy,"for a long time. oh, totally. yeah.",7
Ses01F_impro03_F013.wav,happy, I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],I guess I'll have an internet husband.,38,7,7,10,-3,0.4,happy,38,7,7,4.571,2,0,0,1,7.0,happy,i guess i ll have an internet husband.,8
Ses01F_impro03_F014.wav,excited, I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,I have an internet boyfriend. I guess I'll have to juggle the two. Is that cheating? I don't know. Hmm.,103,20,20,20,0,0.0,excited,103,20,17,4.2,7,1,0,5,4.0,happy,i have an internet boyfriend. i guess i ll have to juggle the two. is that cheating? i don t know. hmm.,22
Ses01F_impro03_F015.wav,excited," Yeah, so [LAUGHTER] He's calling me now","Yeah, so. He's calling me now.",30,6,6,7,-1,0.42857142857142855,excited,30,6,6,4.167,4,0,0,2,3.0,happy,"yeah, so. he s calling me now.",7
